OBJECTID;Categorie;Adres ;Aanduiding ;Naam;Complex;Bouwjaar ;Architect ;Datum aanwijzing;Object nummer;Meer informatie;SHAPE.AREA;SHAPE.LEN;geo_shape;geo_point_2d
77;Rijksmonument;Hoogstraat 315;Woonhuis;;;1879;;27-8-2001;RM0092;https://beeldmateriaal.eindhoven.nl/monumenten/RM0092.pdf;75.7702755;34.909810656120904;"{""type"": ""Polygon"", ""coordinates"": [[[5.462201371349145, 51.4243931998751], [5.462307050118449, 51.42435947808006], [5.462298967902842, 51.4243495867569], [5.462302804753261, 51.42434836181958], [5.462252841880098, 51.42428711820627], [5.462142852141851, 51.424322200020185], [5.462201371349145, 51.4243931998751]]]}";51.4243401016,5.46222658262
78;Rijksmonument;Hoogstraat 313;Woonhuis;;;1879;;27-8-2001;RM0092;https://beeldmateriaal.eindhoven.nl/monumenten/RM0092.pdf;82.4041515;38.7711390947944;"{""type"": ""Polygon"", ""coordinates"": [[[5.462201371349145, 51.4243931998751], [5.4622657397784184, 51.42447127900906], [5.462328534802959, 51.424449395981824], [5.462372678076955, 51.424434005812486], [5.462302804753261, 51.42434836181958], [5.462298967902842, 51.4243495867569], [5.462307050118449, 51.42435947808006], [5.462201371349145, 51.4243931998751]]]}";51.4244139827,5.46228742785
98;Rijksmonument;Jacob van Maerlantlaan 11;School;Van Maerlantlyceum;;;De Jongh, Taen en Nix;31-04-2010;RM0155;https://beeldmateriaal.eindhoven.nl/monumenten/RM0155.pdf;3999.6746365;438.87516938640204;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[5.47424264873951, 51.428050427959434], [5.474433166955646, 51.42820682319858], [5.474495026558518, 51.428177374843784], [5.47462580794088, 51.42828473635822], [5.474608798705654, 51.428292838946284], [5.474688022472605, 51.428357875446714], [5.474678153581281, 51.42836283562774], [5.474901222546288, 51.428545848075935], [5.474911508567332, 51.42854095048251], [5.474991712516641, 51.42860678602951], [5.475070481015957, 51.42856928873341], [5.4750758395162, 51.42856674089114], [5.475067111985922, 51.42855958350186], [5.475320152891717, 51.428439123648886], [5.475372964729764, 51.428482463024956], [5.475481527453008, 51.42843078570403], [5.475341425629359, 51.428315782842375], [5.475268869063386, 51.4282562248362], [5.475218750705562, 51.42821508560229], [5.475008542622964, 51.42804253586885], [5.475006057353033, 51.42804372424967], [5.474950020360228, 51.427997717499665], [5.474994123270652, 51.427976722636544], [5.474987037638953, 51.42797090331594], [5.4746889389306315, 51.42772620419968], [5.474670665733111, 51.427734909988786], [5.474619943631134, 51.427693276572484], [5.47463359106542, 51.427686776493246], [5.474520942795477, 51.42759430461394], [5.474128656707766, 51.42778105946576], [5.474080128910171, 51.42780416065578], [5.474083369236648, 51.4278068278752], [5.473997648170303, 51.427847637525055], [5.47403633030858, 51.42787939264692], [5.474132935066768, 51.42795869058339], [5.474151265954582, 51.42794997584707], [5.474262272562619, 51.42804109201979], [5.47424264873951, 51.428050427959434]], [[5.474929151400775, 51.42815204191558], [5.474721320556409, 51.42825099297573], [5.474459642965195, 51.42803618920139], [5.47471105923767, 51.42791650491195], [5.474885477439317, 51.428059689165764], [5.474868928028187, 51.42806756672845], [5.474899113956447, 51.42809234375755], [5.474897418779523, 51.428093145027425], [5.474913707083766, 51.4281065079103], [5.474954492729773, 51.42813998696795], [5.474929151400775, 51.42815204191558]]]]}";51.4280989912,5.47472803075
101;Rijksmonument;St Hubertusstraat 1;Woonhuis;;Witte Dorp;1937-1939;W.M. Dudok;13-4-2001;RM0031;https://beeldmateriaal.eindhoven.nl/monumenten/RM0031.pdf;70.3854515;40.0413069738686;"{""type"": ""Polygon"", ""coordinates"": [[[5.492507738509536, 51.42793038710338], [5.4926092497474635, 51.42787892493495], [5.492680210819949, 51.42784214190825], [5.492638266380088, 51.42781052176372], [5.492466701554411, 51.42789944921634], [5.492507738509536, 51.42793038710338]]]}";51.4278705241,5.49257365751
102;Rijksmonument;1e Wilakkersstraat 31;Woonhuis;;Witte Dorp;1937-1939;W.M. Dudok;13-4-2001;RM0031;https://beeldmateriaal.eindhoven.nl/monumenten/RM0031.pdf;51.9307975;30.469823619700197;"{""type"": ""Polygon"", ""coordinates"": [[[5.492507738509536, 51.42793038710338], [5.49252565707114, 51.42794388987223], [5.492518045371603, 51.42794784278847], [5.492546363656269, 51.42796919225415], [5.49255420517014, 51.42796513126394], [5.492559030512301, 51.42796876731352], [5.492658140857544, 51.42791746008282], [5.4926092497474635, 51.42787892493495], [5.492507738509536, 51.42793038710338]]]}";51.4279252669,5.49258136111
108;Rijksmonument;1e Wilakkersstraat 19;Woonhuis;;Witte Dorp;1937-1939;W.M. Dudok;13-4-2001;RM0031;https://beeldmateriaal.eindhoven.nl/monumenten/RM0031.pdf;51.8302715;30.4525908336949;"{""type"": ""Polygon"", ""coordinates"": [[[5.49281031131851, 51.42815891094341], [5.49282870539866, 51.428172772781764], [5.492820849515403, 51.428176842792126], [5.492848995245612, 51.428198066499554], [5.492856836771893, 51.428194005489026], [5.492860927543587, 51.428197084894514], [5.492960641336162, 51.42814550719969], [5.49290998192715, 51.42810732434218], [5.49281031131851, 51.42815891094341]]]}";51.4281535982,5.49288351584
109;Rijksmonument;1e Wilakkersstraat 17;Woonhuis;;Witte Dorp;1937-1939;W.M. Dudok;13-4-2001;RM0031;https://beeldmateriaal.eindhoven.nl/monumenten/RM0031.pdf;52.165062;30.4876374045107;"{""type"": ""Polygon"", ""coordinates"": [[[5.492860927543587, 51.428197084894514], [5.4928795809761795, 51.42821116221788], [5.492871466581644, 51.428215367296474], [5.492902277117861, 51.4282385930485], [5.492909630344369, 51.428234784160814], [5.492910825904651, 51.42823569093219], [5.493011028005254, 51.42818385207933], [5.493010105311036, 51.428182801242116], [5.492960641336162, 51.42814550719969], [5.492860927543587, 51.428197084894514]]]}";51.4281920344,5.49293397636
110;Rijksmonument;St Nicasiusstraat 2;Woonhuis;;Witte Dorp;1937-1939;W.M. Dudok;13-4-2001;RM0031;https://beeldmateriaal.eindhoven.nl/monumenten/RM0031.pdf;70.017181;40.5379628598638;"{""type"": ""Polygon"", ""coordinates"": [[[5.492902277117861, 51.4282385930485], [5.492944279777243, 51.4282702669776], [5.493116735498131, 51.42818087959209], [5.493074876841321, 51.428149313458114], [5.493010105311036, 51.428182801242116], [5.493011028005254, 51.42818385207933], [5.492910825904651, 51.42823569093219], [5.492909630344369, 51.428234784160814], [5.492902277117861, 51.4282385930485]]]}";51.4282097946,5.49301032011
113;Rijksmonument;1e Wilakkersstraat 42;Woonhuis;;Witte Dorp;1937-1939;W.M. Dudok;13-4-2001;RM0032;https://beeldmateriaal.eindhoven.nl/monumenten/RM0032.pdf;49.893887;29.111650690057598;"{""type"": ""Polygon"", ""coordinates"": [[[5.49208330528889, 51.428019515453634], [5.49218332105559, 51.4279677314121], [5.492132647952692, 51.427929476321054], [5.492032660990836, 51.42798126928206], [5.49208330528889, 51.428019515453634]]]}";51.4279744968,5.49210798733
1163;Rijksmonument;Raiffeisenstraat 1a;Dienstwoning;;;1927;L.J.P. Kooken;27-8-2001;RM0123;https://beeldmateriaal.eindhoven.nl/monumenten/RM0123.pdf;64.833831;33.4596649102554;"{""type"": ""Polygon"", ""coordinates"": [[[5.481955929075374, 51.440570322779166], [5.4819586994518055, 51.44063689063315], [5.481960281496072, 51.440636853390764], [5.48196035949889, 51.44063978363453], [5.481968226665392, 51.440639642400654], [5.48196810558815, 51.440636748146666], [5.482084213146152, 51.440633965962235], [5.48208092528896, 51.44056763223835], [5.481964500934952, 51.44057015400598], [5.481964351129674, 51.4405672777527], [5.481956584693145, 51.44056743688166], [5.481955929075374, 51.440570322779166]]]}";51.4406022546,5.48201958247
1208;Rijksmonument;Reigerlaan 3;School;;;1914;J.W. Hanrath;27-8-2001;RM0125;https://beeldmateriaal.eindhoven.nl/monumenten/RM0125.pdf;836.2235647;142.61867277221302;"{""type"": ""Polygon"", ""coordinates"": [[[5.492376559702506, 51.441218708626096], [5.492511326303041, 51.441217328407696], [5.492553351382834, 51.44121505221395], [5.492553599725895, 51.44119304772455], [5.492599913814826, 51.441193257495016], [5.492600821857419, 51.44111316762122], [5.492453580711521, 51.44111250081419], [5.492455137484546, 51.44097685138363], [5.492491196143694, 51.44097701653475], [5.492492501242025, 51.44086323676515], [5.492279731294586, 51.44086228740497], [5.492279444250301, 51.4408875278504], [5.49217998469835, 51.44088707824133], [5.492176677012953, 51.44117472766055], [5.492274713247752, 51.44117516956848], [5.49227442750332, 51.44120097629845], [5.492376750015298, 51.44120144121878], [5.492376559702506, 51.441218708626096]]]}";51.4410467731,5.4923548073
1210;Rijksmonument;Dommelstraat 9;Bankgebouw;;;1909;J. Stuyt;27-8-2001;RM0075;https://beeldmateriaal.eindhoven.nl/monumenten/RM0075.pdf;462.6829925;86.0964590201979;"{""type"": ""Polygon"", ""coordinates"": [[[5.481984782344405, 51.441069278404164], [5.481985006138718, 51.441073152338795], [5.481982861983019, 51.44107263274162], [5.481891262703854, 51.44122126303178], [5.481988195790283, 51.44124459064785], [5.481983465299325, 51.44125226183481], [5.482123756571397, 51.441286025831175], [5.482127741645839, 51.44127956871679], [5.48221996934154, 51.44130176740443], [5.482279895284236, 51.44121483399384], [5.482284964200753, 51.441134929564804], [5.482100811723783, 51.44109061287036], [5.481984782344405, 51.441069278404164]]]}";51.4411854023,5.48210141106
1211;Rijksmonument;Parklaan 99;Villa;De Laak;Huize De Laak;1907;J.W. Hanrath;27-8-2001;RM0119;https://beeldmateriaal.eindhoven.nl/monumenten/RM0119.pdf;427.7483955;109.80989968233601;"{""type"": ""Polygon"", ""coordinates"": [[[5.486305513363277, 51.44096402785818], [5.486303136125524, 51.440962169226786], [5.486236356481408, 51.440995645923174], [5.48624315679752, 51.441000952442934], [5.486218071309194, 51.44101353095115], [5.486213518568714, 51.441009984298034], [5.486168792790465, 51.4410324041124], [5.486173518418522, 51.441036085450285], [5.486146320867137, 51.4410497174128], [5.4861392900756645, 51.44104424928718], [5.48607426301204, 51.441076843511695], [5.486081970972729, 51.44108285038631], [5.48607768948286, 51.441085002314495], [5.486084518579412, 51.44109031780768], [5.486040525960486, 51.44111262908599], [5.486085520295112, 51.4411476826502], [5.486131438715167, 51.441124659613706], [5.486205478571991, 51.441182348886194], [5.48620919972993, 51.44118047607859], [5.486217930680185, 51.44118729105459], [5.486282354373754, 51.44115500287851], [5.486273998043352, 51.4411484932033], [5.486369785706474, 51.44110047508021], [5.486377839509096, 51.4411067602895], [5.4864443462277315, 51.44107341857502], [5.48643160999659, 51.44106348796089], [5.486435086897704, 51.441061741195625], [5.486428920498438, 51.44105693751237], [5.486468085985639, 51.44103729983816], [5.486404678754322, 51.44098790720444], [5.486403194802138, 51.44098675791902], [5.486498234894392, 51.44093911785107], [5.486449725054923, 51.440901334886526], [5.486356624663603, 51.44094803844153], [5.486353757582073, 51.44094580270419], [5.486313040458869, 51.440966223675275], [5.486308372475979, 51.440962596225944], [5.486305513363277, 51.44096402785818]]]}";51.4410549303,5.48628244438
1249;Rijksmonument;Parklaan 97;Villa;Dommelhoef, oorspr. Elsheim;;1907;A. Salm;27-8-2001;RM0118;https://beeldmateriaal.eindhoven.nl/monumenten/RM0118.pdf;374.313525;93.42403489810049;"{""type"": ""Polygon"", ""coordinates"": [[[5.487984378766197, 51.44102541758341], [5.487880795931512, 51.44107931337464], [5.487828530336763, 51.44110651332821], [5.487878709895302, 51.44114425832031], [5.487865938430537, 51.44115110075187], [5.487872853647501, 51.44115623629247], [5.487867810607515, 51.44115869455951], [5.487867704390107, 51.44116270359827], [5.487870384717505, 51.44117151916634], [5.48787306728838, 51.44117483366627], [5.487881019935951, 51.44118080425568], [5.487890168344977, 51.44118766368893], [5.487894703517287, 51.4411897001951], [5.487908533133177, 51.441193076963195], [5.487914575433936, 51.44119370993258], [5.487919416794697, 51.4411911080192], [5.487926519380839, 51.44119641417924], [5.487939449142478, 51.441189607558826], [5.487989485192885, 51.44122741554792], [5.488001696951698, 51.441221130884976], [5.488002791714778, 51.4412218759968], [5.488006943440302, 51.441219616246336], [5.488040641926168, 51.441245123878545], [5.488046884684826, 51.441245343188626], [5.488096449768043, 51.441219718494786], [5.488096962807307, 51.44121756975807], [5.488125279288252, 51.441202821775974], [5.488152105478355, 51.441223085949154], [5.488215922107994, 51.44119005117207], [5.488152933675126, 51.44114237596206], [5.488172746087046, 51.44113249821174], [5.488157186564267, 51.44112084440971], [5.488183965014182, 51.44110656515766], [5.488159256527962, 51.441087809252046], [5.48813191672483, 51.44110190022298], [5.488116443660393, 51.44109030926118], [5.488103686311423, 51.441097007887834], [5.488098197146025, 51.441092841901586], [5.488100510092121, 51.44109160844948], [5.488098464300113, 51.44109007315966], [5.48806479450381, 51.44106449360966], [5.488062878638531, 51.44106317393473], [5.488060062982199, 51.44106472242497], [5.488054961451132, 51.441060232508775], [5.488067574926883, 51.441053516034756], [5.488021760359868, 51.44101893135615], [5.488012069053907, 51.44101046702672], [5.487984378766197, 51.44102541758341]]]}";51.4411357664,5.48801982415
