Adres;X_coordina;Y_coordina;Locatie;Parkeerreg;Lat;Lon;Locatie1
Gebroeders van Doomestraat;162250.9985;382165.625;Active locatie;vrij parkeren;51.4285564188;5.49146229111;51.4285564188,5.49146229111
Hertog Hendrik van Brabantplein;161860.8961;382651.8243;Voorkeurslocatie;betaald parkeren;51.4329315879;5.48586242926;51.4329315879,5.48586242926
Versantvoortstraat;162038.3149;381652.6017;Voorkeurslocatie;vrij parkeren;51.4239477227;5.48839386269;51.4239477227,5.48839386269
Bredalaan;158815.0697;383304.4471;Active locatie;vrij parkeren;51.4388266931;5.4420690548;51.4388266931,5.4420690548
De Greide;160802.349;385222.588;Active locatie;vrij parkeren;51.4560512057;5.47068229625;51.4560512057,5.47068229625
Goudrenetstraat;162466.1818;387962.907;Active locatie;vrij parkeren;51.480663315;5.49467923546;51.480663315,5.49467923546
Alard du Hamelstraat;160115.418;385639.943;Active locatie;vrij parkeren;51.4598093334;5.46080494287;51.4598093334,5.46080494287
Orionstraat;162492.5215;386835.749;Active locatie;vrij parkeren;51.4705313552;5.49503441455;51.4705313552,5.49503441455
Busweg;162465.7153;388328.337;Active locatie;vrij parkeren;51.4839480362;5.49468027663;51.4839480362,5.49468027663
Landleven;156805.1794;382471.0209;Active locatie;vrij parkeren;51.4313453671;5.41315792395;51.4313453671,5.41315792395
Honore de Balzaclaan;160847.5128;388794.2511;Active locatie;vrij parkeren;51.4881551325;5.47139142217;51.4881551325,5.47139142217
Waterfront;156213.8667;383179.3117;Active locatie;vrij parkeren;51.4377135651;5.40465731418;51.4377135651,5.40465731418
Vroenhof;161663.0435;385118.893;Active locatie;vrij parkeren;51.4551095906;5.48306381231;51.4551095906,5.48306381231
Echternachlaan;161152.531;387390.3925;Active locatie;vrij parkeren;51.4755331025;5.4757584903;51.4755331025,5.4757584903
Goudestein;158362.0864;381393.1266;Active locatie;vrij parkeren;51.4216493481;5.43553590672;51.4216493481,5.43553590672
Vaalserbergweg;159809.5722;388083.6191;Active locatie;vrij parkeren;51.481777368;5.45643750887;51.481777368,5.45643750887
Raafeisenstraat;161626.2239;383462.3871;Active locatie;betaald parkeren;51.4402202717;5.48250295465;51.4402202717,5.48250295465
Alpenroosstraat;162336.6283;381363.4619;Active locatie;vrij parkeren;51.4213449339;5.49267688833;51.4213449339,5.49267688833
Otto Veniusweg;163110.3691;382332.4191;Active locatie;vrij parkeren;51.4300439538;5.50382308465;51.4300439538,5.50382308465
Pennekert;164519.7055;383729.4503;Active locatie;vrij parkeren;51.4425793152;5.52412639952;51.4425793152,5.52412639952
Retiestraat;161201.9819;387967.0474;Active locatie;vrij parkeren;51.4807158999;5.47648044667;51.4807158999,5.47648044667
Sint Gerardusplein;162062.9824;381237.983;Active locatie;vrij parkeren;51.4202205432;5.48874022162;51.4202205432,5.48874022162
Waterlinie;155547.38;382915.6869;Active locatie;vrij parkeren;51.4353449887;5.39507153724;51.4353449887,5.39507153724
Wattstraat;159996.874;384812.0581;Active locatie;vrij parkeren;51.452368832;5.4590874919;51.452368832,5.4590874919
Heraultlaan;158529.478;388475.2312;Active locatie;vrij parkeren;51.4853069431;5.43801334689;51.4853069431,5.43801334689
Frankrijkstraat;160466.6799;385084.1841;Active locatie;vrij parkeren;51.4548105052;5.46585062071;51.4548105052,5.46585062071
Molièrelaan 88;160915.0875;388836.3729;Active locatie;vrij parkeren;51.4885330423;5.47236506645;51.4885330423,5.47236506645
Bosfazant 17;157048.822;383935.2654;Active locatie;vrij parkeren;51.4445061432;5.41666997859;51.4445061432,5.41666997859
Telemannlaan 132;159647.2838;382241.1963;Active locatie;vrij parkeren;51.4292632207;5.45402423113;51.4292632207,5.45402423113
Judas Taddeusplein 2;160339.4282;385972.0387;Active locatie;vrij parkeren;51.4627923407;5.46403324551;51.4627923407,5.46403324551
Aldendriel 89;158817.7726;381355.569;Active locatie;vrij parkeren;51.4213088451;5.44208685604;51.4213088451,5.44208685604
Vaartbroek 2;162903.4787;387787.4608;Active locatie;vrij parkeren;51.4790803177;5.50097042377;51.4790803177,5.50097042377
Hadewychlaan 2;162932.0246;382074.3509;Active locatie;vrij parkeren;51.4277268066;5.5012527688;51.4277268066,5.5012527688
Waterfront 555;155766.8701;383453.4079;Active locatie;vrij parkeren;51.4401781268;5.3982292298;51.4401781268,5.3982292298
Tafelbergstraat 14;163654.5728;383678.0586;Active locatie;vrij parkeren;51.4421313372;5.51168150302;51.4421313372,5.51168150302
Neumannlaan 26;160152.0756;386621.5304;Active locatie;vrij parkeren;51.4686321401;5.46134675521;51.4686321401,5.46134675521
Bosboomstraat 84;162727.057;383327.0228;Active locatie;vrij parkeren;51.438989494;5.4983330148;51.438989494,5.4983330148
Doelenstraat 41;159683.3293;383605.808;Active locatie;betaald parkeren;51.4415289624;5.45456064428;51.4415289624,5.45456064428
Fuutlaan 21;162697.3585;383877.6903;Active locatie;vrij parkeren;51.4439396584;5.49791789552;51.4439396584,5.49791789552
Jagerslaan 16;163201.5592;381036.6574;Active locatie;vrij parkeren;51.4183954663;5.50510422555;51.4183954663,5.50510422555
August Sniederslaan 8;161299.0662;382398.9072;Active locatie;betaald parkeren;51.430664768;5.47777853701;51.430664768,5.47777853701
Kuiperbergstraat 2;160322.0926;388180.3032;Active locatie;vrij parkeren;51.4826418028;5.46381716484;51.4826418028,5.46381716484
Gloriantstraat;160830.7108;386614.9234;Vergunning;vrij parkeren;51.468566121;5.47111339153;51.468566121,5.47111339153
Veldmaarschalk Montgomerylaan;161217.1145;384182.4764;Vergunning;betaald parkeren;51.4466975743;5.47663151545;51.4466975743,5.47663151545
Normandiëlaan 49;159484.1873;387978.0875;Active locatie;vrij parkeren;51.480831476;5.45175195631;51.480831476,5.45175195631
Waterfront 311;156012.3698;383392.3726;Active locatie;vrij parkeren;51.4396291049;5.40176000723;51.4396291049,5.40176000723
Tourslaan 24A;159013.0754;388768.5388;Active locatie;vrij parkeren;51.4879401261;5.44497905092;51.4879401261,5.44497905092
Stevertsemolen 37;161524.4823;384441.3478;Active locatie;betaald parkeren;51.4490209988;5.48105773186;51.4490209988,5.48105773186
Hertog Hendrik van Brabantplein 5;161891.0841;382643.4555;Active locatie;betaald parkeren;51.4328559949;5.48629638342;51.4328559949,5.48629638342
Jan Tooropstraat 30;163258.4242;383456.1797;Active locatie;vrij parkeren;51.4401428964;5.50597835959;51.4401428964,5.50597835959
Odysseuslaan;162186.4441;386147.0277;Active locatie;vrij parkeren;51.4643446827;5.49061518919;51.4643446827,5.49061518919
Venuslaan 223;162044.9952;386686.1894;Active locatie;vrij parkeren;51.4691928023;5.48859046748;51.4691928023,5.48859046748
Honeggerstraat 7;159610.6604;380848.1473;Active locatie;vrij parkeren;51.4167418532;5.45347941488;51.4167418532,5.45347941488
Engelsbergenstraat 11;160152.6476;383238.5782;Active locatie;vrij parkeren;51.4382239536;5.46130557343;51.4382239536,5.46130557343
Frankendaal 56;158871.1953;381694.487;Active locatie;vrij parkeren;51.4243549056;5.44285862144;51.4243549056,5.44285862144
Tarantostraat 52;162722.3531;388322.8352;Vergunning;vrij parkeren;51.4838951162;5.49837486485;51.4838951162,5.49837486485
Hasenbosakker 2;161494.1958;386678.3016;Active locatie;vrij parkeren;51.4691285326;5.48066325636;51.4691285326,5.48066325636
Mimosalaan 51;162538.1967;381565.2669;Active locatie;vrij parkeren;51.4231562304;5.49557911089;51.4231562304,5.49557911089
Zeelsterstraat 160;158515.9734;383173.0644;Active locatie;vrij parkeren;51.4376476896;5.43776604766;51.4376476896,5.43776604766
Slangenburg 1;158551.9718;380757.5827;Active locatie;vrij parkeren;51.4159354768;5.43825947464;51.4159354768,5.43825947464
Alberdingk Thijmlaan;161652.4122;382125.0149;Active locatie;betaald parkeren;51.4281987773;5.48285440056;51.4281987773,5.48285440056
Anconalaan;162838.2766;388572.7454;Active locatie;vrij parkeren;51.4861398619;5.50004933719;51.4861398619,5.50004933719
